4179,Toutatis,2008,Nov,9,12:22,<  00:01,19.6,0.0502,0.0502,9.21,<,1.00E-09,1.30E+06,15.3,711*,3216,JPL#69
,1993 KH,2008,Nov,22,8:11,0:01,38.7,0.0994,0.0994,13.43,<,1.00E-09,1.90E+04,19,34,1672,JPL#03
,1998 UT18,2008,Nov,25,9:09,1:09,41,0.1053,0.1045,11.95,<,1.00E-09,3.70E+05,19,139,204,JPL#37
,1998 CS1,2009,Jan,17,20:02,6:54,10.9,0.0279,0.0241,18.51,<,1.00E-09,4.60E+04,17.5,71,192,JPL#06
,1999 AQ10,2009,Feb,18,15:27,0:07,4.6,0.0117,0.0103,8.28,<,1.00E-09,1.00E+04,20.4,127,42,JPL#30
,1978 CA,2009,Mar,7,,1/16:36,62.3,0.1602,0.1225,13.71,<,1.00E-09,1.10E+05,18,48,32,JPL#09
,1998 OR2,2009,Mar,19,,8/22:15,47.8,0.1228,0.0557,10.08,<,1.00E-09,1.50E+03,16.5,39,59,JPL#12
,1998 SC15,2009,Mar,23,16:23,2:49,77.4,0.1989,0.1977,10.15,<,1.00E-09,8.70E+04,19.4,80,243,JPL#17
,1996 FG3,2009,May,6,9:09,<  00:01,60.7,0.1561,0.1561,6.58,<,1.00E-09,8.80E+05,18.4,345,1065,JPL#05
,1991 JW,2009,May,23,23:25,0:11,31.6,0.0812,0.0812,5.08,<,1.00E-09,2.20E+05,19.3,29,15383,JPL#07
,1994 CC,2009,Jun,10,9:03,7:31,6.6,0.017,0.0166,8.38,<,1.00E-09,2.40E+03,18,41,766,JPL#02
,1999 DJ4,2009,Jun,12,9:46,8:46,70.3,0.1807,0.1782,12.18,<,1.00E-09,2.40E+05,18.2,116,189,JPL#27
,1999 MN,2009,Jul,12,11:51,3:09,26.2,0.0673,0.0173,17.31,<,1.00E-09,7.70E+04,21.6,45,25,JPL#14
8566,1996 EN,2009,Aug,28,10:42,<  00:01,75.6,0.1942,0.1942,21.2,<,1.00E-09,2.00E+05,16.5,294,5716,JPL#06
,1998 VF32,2009,Nov,22,,1/01:52,33.5,0.0861,0.0436,15.13,<,1.00E-09,4.10E+04,21.1,50,10,JPL#12
3361,Orpheus,2009,Dec,25,18:30,0:01,53.8,0.1383,0.1383,6.51,<,1.00E-09,7.50E+05,19,84,5908,JPL#04
4486,Mithra,2010,Mar,12,13:47,0:07,73.5,0.1889,0.1889,22.64,<,1.00E-09,1.10E+05,15.6,64,9067,JPL#07
,1999 MN,2010,Jun,3,,2/16:32,2.2,0.0057,0.0053,15.32,<,1.00E-09,1.10E+04,21.6,45,25,JPL#14
,1999 JD6,2010,Jul,27,6:57,0:01,54,0.1388,0.1385,16.86,<,1.00E-09,4.20E+04,16.7,209,158,JPL#42
6239,Minos,2010,Aug,10,21:08,<  00:01,38.3,0.0985,0.0985,10.17,<,1.00E-09,1.40E+05,17.9,57,5855,JPL#08
,1989 UQ,2010,Oct,21,6:54,0:01,59.7,0.1533,0.1533,6.01,<,1.00E-09,2.10E+05,19,114,2596,JPL#03
,1991 JW,2010,Nov,28,21:47,0:04,37,0.0952,0.0951,7.82,<,1.00E-09,8.60E+04,19.3,29,15383,JPL#07
,1998 HE3,2011,Feb,3,6:45,0:12,37.9,0.0973,0.0967,15.18,<,1.00E-09,1.80E+03,21.5,106,24,JPL#04
,1998 FH12,2011,Jun,23,14:36,8:22,52.7,0.1353,0.1269,20.91,<,1.00E-09,1.10E+03,19,44,66,JPL#01
,1999 RQ36,2011,Sep,11,0:50,0:04,68.7,0.1766,0.1766,10.77,<,1.00E-09,7.90E+05,21,167*,20,JPL#31
,1998 SC15,2011,Oct,18,18:13,1:27,47.3,0.1215,0.1202,16.79,<,1.00E-09,1.70E+05,19.4,80,243,JPL#17
,1996 FG3,2011,Nov,23,15:43,0:01,39.5,0.1014,0.1014,8.13,<,1.00E-09,6.20E+05,18.4,345,1065,JPL#05
,1994 XL1,2011,Nov,29,,2/09:03,44.7,0.1148,0.0777,16.31,<,1.00E-09,9.00E+04,20.5,75,16,JPL#03
,1999 RD32,2012,Mar,13,,5/03:46,51.6,0.1325,0.0814,19.35,<,1.00E-09,1.40E+04,16.3,189,42,JPL#38
,1999 GS6,2012,Mar,25,23:16,22:11,44.6,0.1146,0.0982,11.62,<,1.00E-09,3.00E+04,19.7,93,49,JPL#07
,1996 SK,2012,Apr,18,16:28,20:09,67.9,0.1745,0.1629,19.21,<,1.00E-09,2.70E+04,17.2,90,302,JPL#02
,1998 HE3,2012,May,10,17:44,0:50,13.2,0.0339,0.0286,11.88,<,1.00E-09,5.30E+03,21.5,106,24,JPL#04
4183,Cuno,2012,May,20,19:13,<  00:01,47.4,0.1218,0.1218,14.4,<,1.00E-09,4.00E+05,14.4,173,14674,JPL#11
,1999 BJ8,2012,Jun,16,10:38,12:38,68.7,0.1766,0.1736,14.87,<,1.00E-09,4.50E+05,18,255,218,JPL#22
,1994 PM,2012,Aug,12,7:52,0:08,37,0.0952,0.095,28.73,<,1.00E-09,1.80E+05,17.5,94,678,JPL#03
4581,Asclepius,2012,Aug,16,8:49,0:07,42,0.1079,0.1078,13.48,<,1.00E-09,2.40E+04,20.4,34,444,JPL#04
4769,Castalia,2012,Aug,28,17:07,<  00:01,44.2,0.1135,0.1135,12.05,<,1.00E-09,9.40E+05,16.9,98*,2179,JPL#19
,1998 QC1,2012,Sep,15,1:46,11:46,62.8,0.1613,0.1569,16.96,<,1.00E-09,1.30E+05,19.6,92,189,JPL#27
4179,Toutatis,2012,Dec,12,6:40,<  00:01,18,0.0463,0.0463,11.91,<,1.00E-09,7.60E+05,15.3,711*,3216,JPL#69
,1998 WT24,2012,Dec,23,6:13,7:09,70.4,0.1809,0.1633,14.96,<,1.00E-09,1.70E+04,17.7,43,33,JPL#11
